model_id,accuracy,precision,recall,f1
llama2:7b,0.7097817299919159,0.9265213308418673,0.7097817299919159,0.7911544742356723
mixtral,0.6370250606305577,0.8938807598730886,0.6370250606305577,0.7286408785285176
llama2:7b,0.7162489894907034,0.930526922937423,0.7162489894907034,0.7964253560389509
llama2:7b,0.7162489894907034,0.928519005349261,0.7162489894907034,0.7953668710527051 - seed 0
llama2:7b,0.7105901374292644,0.9308780092926269,0.7105901374292644,0.792872449162351 - seed 50
llama2:7b,0.7073565076798707,0.9277235433264788,0.7073565076798707,0.7896584144606683 - seed 500
mixtral:8x7b,0.8237671786580436,0.8993073905631596,0.8237671786580436,0.8532853656837349
llama2:7b,0.7105901374292644,0.928365549827382,0.7105901374292644,0.7921301376785455
llama2:7b,0.7133333333333334,0.9335487244688704,0.7133333333333334,0.7927024563825213 - 300 samples
llama2:13b,0.7566666666666667,0.9167129769455351,0.7566666666666667,0.8091206735646176
mixtral:8x7b,0.8066666666666666,0.9184420091324201,0.8066666666666666,0.8455867346938775 - 300 samples
